Isaiah Thomas,76,33.8,28.9,9.0,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,0.6,2.1,2.7,5.9,2.8,0.9,0.2,2.2,3.6,,,
Avery Bradley,55,33.4,16.3,6.5,14.1,46.3,2.0,5.0,39.0,1.2,1.7,73.1,1.2,4.9,6.1,2.2,1.6,1.2,0.2,2.6,1.3,,,
Al Horford,68,32.3,14.0,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2.0,80.0,1.4,5.4,6.8,5.0,1.7,0.8,1.3,2.0,3.2,,,
Jae Crowder,72,32.4,13.9,4.6,10.0,46.3,2.2,5.5,39.8,2.4,3.0,81.1,0.7,5.1,5.8,2.2,1.1,1.0,0.3,2.2,4.8,,,
Marcus Smart,79,30.4,10.6,3.4,9.5,35.9,1.2,4.2,28.3,2.6,3.2,81.2,1.0,2.9,3.9,4.6,2.0,1.6,0.4,2.4,1.6,,,
Kelly Olynyk,75,20.5,9.0,3.5,6.8,51.2,0.9,2.6,35.4,1.2,1.6,73.2,1.0,3.8,4.8,2.0,1.3,0.6,0.4,2.8,0.2,,,
Terry Rozier,74,17.1,5.5,2.0,5.6,36.7,0.8,2.4,31.8,0.7,0.9,77.3,0.5,2.5,3.1,1.8,0.6,0.6,0.1,0.9,-0.2,,,
Jaylen Brown,78,17.2,6.6,2.5,5.4,45.4,0.6,1.7,34.1,1.1,1.6,68.5,0.6,2.2,2.8,0.8,0.9,0.4,0.2,1.8,-1.6,,,
Gerald Green,47,11.4,5.6,2.0,4.9,40.9,0.8,2.4,35.1,0.7,0.9,80.5,0.3,1.4,1.8,0.7,0.5,0.2,0.1,1.0,0.2,,,
Amir Johnson,80,20.1,6.5,2.7,4.6,57.6,0.3,0.8,40.9,0.8,1.3,67.0,1.5,3.1,4.6,1.8,1.0,0.6,0.8,2.6,2.6,,,
Jonas Jerebko,78,15.8,3.8,1.5,3.4,43.5,0.6,1.7,34.6,0.3,0.5,70.3,0.8,2.7,3.5,0.9,0.5,0.3,0.2,1.6,0.5,,,
Tyler Zeller,51,10.3,3.5,1.5,3.1,49.4,0.0,0.0,0.0,0.4,0.8,56.4,0.8,1.6,2.4,0.8,0.4,0.1,0.4,1.2,0.0,,,
James Young,29,7.6,2.3,0.9,2.0,43.1,0.4,1.2,34.3,0.2,0.3,66.7,0.2,0.7,0.9,0.1,0.1,0.3,0.1,0.5,-1.3,,,
