Brook Lopez,75,29.6,20.5,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81.0,1.6,3.8,5.4,2.3,2.5,0.5,1.7,2.6,-2.1,,,
Bojan Bogdanovic,55,27.0,14.2,4.9,11.1,44.0,1.8,5.0,35.7,2.7,3.0,87.4,0.4,3.2,3.6,1.6,1.7,0.4,0.1,1.8,-5.3,,,
Jeremy Lin,36,24.5,14.5,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,0.3,3.4,3.8,5.1,2.4,1.2,0.4,2.2,-2.3,,,
Sean Kilpatrick,70,25.1,13.1,4.4,10.5,41.5,1.5,4.4,34.1,2.9,3.5,84.3,0.3,3.7,4.0,2.2,1.9,0.6,0.1,1.7,-3.2,,,
Trevor Booker,71,24.7,10.0,4.3,8.3,51.6,0.4,1.1,32.1,1.0,1.5,67.3,2.0,6.0,8.0,1.9,1.8,1.1,0.4,2.1,-4.7,,,
Joe Harris,52,21.9,8.2,3.0,7.0,42.5,1.6,4.3,38.5,0.7,0.9,71.4,0.3,2.5,2.8,1.0,1.1,0.6,0.2,2.3,-5.5,,,
Isaiah Whitehead,73,22.5,7.4,2.8,7.0,40.2,0.6,2.0,29.5,1.2,1.5,80.5,0.4,2.1,2.5,2.6,1.9,0.6,0.5,2.4,-1.6,,,
Rondae Hollis-Jefferson,78,22.6,8.7,3.0,6.9,43.4,0.2,0.9,22.4,2.4,3.2,75.1,1.2,4.6,5.8,2.0,1.5,1.1,0.6,2.3,-3.4,,,
Caris LeVert,57,21.7,8.2,3.0,6.7,45.0,1.0,3.2,32.1,1.2,1.6,72.0,0.4,2.9,3.3,1.9,1.0,0.9,0.1,1.6,-1.6,,,
Justin Hamilton,64,18.4,6.9,2.7,5.9,45.9,0.9,2.8,30.6,0.6,0.8,75.0,1.1,3.0,4.1,0.9,0.7,0.5,0.7,1.4,-4.5,,,
Archie Goodwin,12,15.4,7.9,2.8,5.1,55.7,0.3,1.1,30.8,1.9,2.7,71.9,0.6,1.8,2.3,1.9,1.2,0.3,0.3,0.6,-2.8,,,
KJ McDaniels,20,14.7,6.3,2.3,5.1,45.5,0.6,2.0,28.2,1.2,1.4,82.1,0.5,2.2,2.6,0.5,1.0,0.6,0.5,1.3,-1.0,,,
Spencer Dinwiddie,59,22.6,7.3,2.3,5.1,44.4,0.6,1.7,37.6,2.1,2.7,79.2,0.5,2.3,2.8,3.1,1.1,0.7,0.4,2.0,-2.3,,,
Yogi Ferrell,10,15.1,5.4,1.8,4.9,36.7,0.8,2.7,29.6,1.0,1.6,62.5,0.4,0.8,1.2,1.7,1.4,0.2,0.2,1.1,-4.4,,,
Quincy Acy,32,15.9,6.5,2.0,4.8,42.5,1.1,2.6,43.4,1.3,1.8,75.4,0.6,2.8,3.3,0.6,0.6,0.4,0.5,1.8,-0.3,,,
Randy Foye,69,18.6,5.2,1.7,4.7,36.3,1.0,2.9,33.0,0.8,0.9,85.7,0.1,2.1,2.2,2.0,1.2,0.5,0.1,1.4,-3.0,,,
Luis Scola,36,12.8,5.1,2.0,4.2,47.0,0.5,1.4,34.0,0.7,1.0,67.6,1.4,2.4,3.9,1.0,0.9,0.4,0.1,1.8,-2.3,,,
Anthony Bennett,23,11.5,5.0,1.7,4.0,41.3,0.6,2.1,27.1,1.1,1.6,72.2,1.1,2.3,3.4,0.5,0.5,0.2,0.1,0.8,-3.0,,,
Andrew Nicholson,10,11.1,3.0,1.3,3.4,38.2,0.2,1.1,18.2,0.2,0.2,100,0.4,2.3,2.7,0.3,0.6,0.5,0.0,1.8,-6.0,,,
Greivis Vasquez,3,12.9,2.3,0.7,2.7,25.0,0.3,1.0,33.3,0.7,1.0,66.7,0.0,0.7,0.7,1.7,0.3,0.3,0.3,2.0,-4.3,,,
Chris McCullough,14,5.2,2.5,1.1,2.2,51.6,0.1,0.4,16.7,0.1,0.2,66.7,0.6,0.6,1.2,0.1,0.1,0.1,0.1,0.5,3.7,,,
