Wilson Chandler,71,30.9,15.7,6.1,13.2,46.1,1.5,4.6,33.7,2.0,2.7,72.7,1.5,5.0,6.5,2.0,1.6,0.7,0.4,2.4,-0.5,,,
Danilo Gallinari,63,33.9,18.2,5.3,11.9,44.7,2.0,5.1,38.9,5.5,6.1,90.2,0.6,4.5,5.2,2.1,1.3,0.6,0.2,1.5,2.5,,,
Nikola Jokic,73,27.9,16.7,6.8,11.7,57.8,0.6,1.9,32.4,2.6,3.1,82.5,2.9,6.9,9.8,4.9,2.3,0.8,0.8,2.9,4.1,,,
Gary Harris,57,31.3,14.9,5.6,11.2,50.2,1.9,4.5,42.0,1.8,2.4,77.6,0.8,2.3,3.1,2.9,1.3,1.2,0.1,1.6,1.4,,,
Will Barton,60,28.4,13.7,4.9,11.1,44.3,1.5,3.9,37.0,2.4,3.2,75.3,1.0,3.4,4.3,3.4,1.6,0.8,0.5,1.8,-1.3,,,
Emmanuel Mudiay,55,25.6,11.0,3.8,10.0,37.7,1.0,3.2,31.5,2.4,3.0,78.4,0.5,2.7,3.2,3.9,2.2,0.7,0.2,1.7,-2.4,,,
Jamal Murray,82,21.5,9.9,3.6,8.9,40.4,1.4,4.2,33.4,1.3,1.5,88.3,0.5,2.1,2.6,2.1,1.4,0.6,0.3,1.5,0.9,,,
Jameer Nelson,75,27.3,9.2,3.6,8.1,44.4,1.4,3.6,38.8,0.6,0.8,71.4,0.4,2.2,2.6,5.1,1.7,0.7,0.1,2.6,1.7,,,
Kenneth Faried,61,21.2,9.6,3.7,6.8,54.8,0.0,0.1,0.0,2.1,3.1,69.3,3.0,4.6,7.6,0.9,1.0,0.7,0.7,2.0,-1.0,,,
Mason Plumlee,27,23.4,9.1,3.7,6.7,54.7,0.0,0.0,0.0,1.7,2.8,61.8,1.9,4.6,6.4,2.6,1.7,0.7,1.1,2.9,-0.7,,,
Jusuf Nurkic,45,17.9,8.0,3.4,6.6,50.7,0.0,0.0,0.0,1.2,2.5,49.6,2.0,3.8,5.8,1.3,1.8,0.6,0.8,2.0,-3.4,,,
Darrell Arthur,41,15.6,6.4,2.3,5.2,44.2,1.3,2.9,45.3,0.5,0.5,86.4,0.6,2.1,2.7,1.0,0.9,0.5,0.5,1.9,-0.6,,,
Juan Hernangomez,62,13.6,4.9,1.6,3.6,45.1,0.7,1.8,40.7,0.9,1.2,75.0,0.7,2.3,3.0,0.5,0.5,0.5,0.2,1.0,-0.5,,,
Malik Beasley,22,7.5,3.8,1.5,3.3,45.2,0.4,1.3,32.1,0.4,0.5,80.0,0.2,0.5,0.8,0.5,0.4,0.3,0.0,0.5,2.6,,,
Johnny O'Bryant III,7,6.6,2.9,1.0,2.1,46.7,0.3,0.4,66.7,0.6,0.6,100,0.7,0.9,1.6,0.3,0.4,0.0,0.1,0.6,-2.9,,,
Mike Miller,20,7.5,1.4,0.5,1.2,39.1,0.4,1.0,40.0,0.1,0.1,100,0.1,1.8,1.9,1.1,0.7,0.1,0.0,0.5,-0.3,,,
Alonzo Gee,13,6.9,0.8,0.2,1.1,21.4,0.0,0.2,0.0,0.4,0.7,55.6,0.3,0.8,1.2,0.5,0.3,0.4,0.1,1.1,-1.4,,,
Roy Hibbert,6,1.8,0.7,0.3,0.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,0.2,0.0,0.3,0.5,-2.2,,,
Jarnell Stokes,2,3.3,1.5,0.5,0.5,100,0.0,0.0,0.0,0.5,1.0,50.0,0.5,0.5,1.0,1.0,0.0,0.5,0.0,1.5,0.0,,,
