James Harden,11,37.0,28.5,8.2,19.8,41.3,2.9,10.5,27.8,9.2,10.5,87.8,0.6,4.8,5.5,8.5,5.4,1.9,0.5,3.9,0.4,,,
Eric Gordon,11,32.6,12.9,4.6,11.0,42.1,2.5,6.4,38.6,1.2,1.6,72.2,0.5,3.5,3.9,2.0,1.3,0.7,0.5,1.8,4.1,,,
Lou Williams,11,24.7,12.5,4.5,10.7,42.4,1.1,3.5,30.8,2.4,2.6,89.7,0.6,2.1,2.7,1.3,1.3,0.6,0.1,1.5,5.4,,,
Patrick Beverley,11,29.5,11.1,4.1,9.9,41.3,1.9,4.7,40.4,1.0,1.3,78.6,1.9,3.6,5.5,3.0,1.6,1.5,0.2,3.5,1.0,,,
Trevor Ariza,11,37.5,10.7,3.7,8.8,42.3,2.1,5.5,37.7,1.2,1.3,92.9,0.7,4.4,5.1,2.1,0.8,1.3,0.2,2.3,-1.4,,,
Ryan Anderson,11,30.5,9.4,3.3,8.4,39.1,1.5,5.5,28.3,1.3,1.5,87.5,1.4,3.8,5.2,0.6,0.8,0.4,0.2,2.2,0.1,,,
Clint Capela,11,26.0,10.5,4.2,7.5,56.1,0.0,0.1,0.0,2.2,3.5,61.5,2.4,6.4,8.7,1.1,0.7,0.7,2.5,2.5,-1.5,,,
Nene,9,17.9,10.0,4.0,5.7,70.6,0.0,0.1,0.0,2.0,3.4,58.1,1.2,3.4,4.7,0.6,1.0,0.7,0.4,2.7,5.0,,,
Bobby Brown,5,4.3,5.0,2.0,4.0,50.0,1.0,2.2,45.5,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.2,-2.6,,,
Sam Dekker,4,7.8,2.3,0.8,3.0,25.0,0.8,1.5,50.0,0.0,0.0,0.0,1.3,1.3,2.5,0.3,0.0,0.3,0.3,0.5,-6.3,,,
Troy Williams,5,3.7,0.2,0.0,1.8,0.0,0.0,1.0,0.0,0.2,0.4,50.0,0.4,1.0,1.4,0.2,0.4,0.0,0.0,0.0,-2.4,,,
Kyle Wiltjer,1,5.4,3.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,,,
Isaiah Taylor,3,3.2,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.3,-0.3,,,
Montrezl Harrell,5,4.2,1.0,0.2,0.6,33.3,0.0,0.0,0.0,0.6,1.2,50.0,0.2,1.0,1.2,0.4,0.4,0.0,0.0,1.4,-1.6,,,
