Alex Abrines,68,15.5,6.0,2.0,5.0,39.3,1.4,3.6,38.1,0.6,0.7,89.8,0.3,1.0,1.3,0.6,0.5,0.5,0.1,1.7,0.0,,,
Andre Roberson,79,30.1,6.6,2.7,5.9,46.4,0.6,2.3,24.5,0.6,1.4,42.3,1.2,3.9,5.1,1.0,0.6,1.2,1.0,2.6,1.8,,,
Anthony Morrow,40,15.7,5.8,2.2,5.6,38.6,0.9,3.0,29.4,0.6,0.7,88.5,0.3,0.5,0.7,0.5,0.2,0.6,0.1,1.0,-1.2,,,
Cameron Payne,20,16.0,5.3,2.2,6.5,33.1,0.8,2.6,30.8,0.2,0.2,100,0.1,1.5,1.6,2.0,0.8,0.5,0.2,1.9,-2.0,,,
Domantas Sabonis,81,20.1,5.9,2.4,5.9,39.9,0.6,2.0,32.1,0.5,0.8,65.7,0.6,3.0,3.6,1.0,1.0,0.5,0.4,2.5,0.2,,,
Doug McDermott,22,19.5,6.6,2.5,5.6,45.2,1.0,2.6,36.2,0.5,0.8,70.6,0.3,2.0,2.2,0.6,0.3,0.1,0.0,1.0,-1.8,,,
Enes Kanter,72,21.3,14.3,5.6,10.2,54.5,0.1,0.5,13.2,3.1,4.0,78.6,2.7,4.0,6.7,0.9,1.7,0.4,0.5,2.1,0.8,,,
Ersan Ilyasova,3,20.7,5.0,2.0,5.3,37.5,1.0,4.0,25.0,0.0,0.0,0.0,0.7,4.7,5.3,0.3,1.3,1.0,0.3,1.7,4.7,,,
Jerami Grant,78,19.1,5.4,1.9,4.0,46.9,0.6,1.5,37.7,1.1,1.8,61.9,0.5,2.1,2.6,0.6,0.5,0.4,1.0,1.8,-2.2,,,
Joffrey Lauvergne,50,14.8,5.7,2.2,4.9,45.5,0.5,1.6,34.6,0.7,1.2,63.8,1.0,2.6,3.7,1.0,0.8,0.4,0.1,1.4,-1.5,,,
Josh Huestis,2,15.4,7.0,3.0,5.5,54.5,1.0,2.0,50.0,0.0,0.5,0.0,2.0,2.5,4.5,1.5,0.0,0.0,1.5,0.0,1.5,,,
Kyle Singler,32,12.0,2.8,1.1,2.6,41.0,0.2,1.2,18.9,0.4,0.5,76.5,0.3,1.3,1.5,0.3,0.3,0.2,0.2,0.9,0.3,,,
Nick Collison,20,6.4,1.7,0.7,1.2,60.9,0.0,0.1,0.0,0.3,0.4,62.5,0.5,1.1,1.6,0.6,0.2,0.1,0.1,0.9,-2.0,,,
Norris Cole,13,9.6,3.3,1.2,4.0,30.8,0.2,1.0,23.1,0.6,0.8,80.0,0.0,0.8,0.8,1.1,0.5,0.6,0.0,1.4,-1.2,,,
Russell Westbrook,81,34.6,31.6,10.2,24.0,42.5,2.5,7.2,34.3,8.8,10.4,84.5,1.7,9.0,10.7,10.4,5.4,1.6,0.4,2.3,3.1,,,
Semaj Christon,64,15.2,2.9,1.2,3.5,34.5,0.2,1.0,19.0,0.3,0.5,54.8,0.3,1.1,1.4,2.0,0.7,0.4,0.1,1.2,-2.2,,,
Steven Adams,80,29.9,11.3,4.7,8.2,57.1,0.0,0.0,0.0,2.0,3.2,61.1,3.5,4.2,7.7,1.1,1.8,1.1,1.0,2.4,2.4,,,
Taj Gibson,23,21.2,9.0,3.9,7.8,49.7,0.0,0.0,100,1.2,1.7,71.8,1.7,2.8,4.5,0.6,1.2,0.6,0.7,1.7,0.9,,,
Victor Oladipo,67,33.2,15.9,6.1,13.9,44.2,1.9,5.3,36.1,1.7,2.3,75.3,0.6,3.8,4.3,2.6,1.8,1.2,0.3,2.3,2.6,,,
