Alec Burks,42,15.5,6.7,2.4,5.9,39.9,0.6,1.8,32.9,1.4,1.9,76.9,0.4,2.5,2.9,0.7,0.8,0.4,0.1,1.2,0.0,,,
Boris Diaw,73,17.6,4.6,2.0,4.5,44.6,0.3,1.1,24.7,0.4,0.5,74.3,0.6,1.5,2.2,2.3,1.2,0.2,0.1,1.1,0.2,,,
Dante Exum,66,18.6,6.2,2.3,5.5,42.7,0.7,2.3,29.5,0.9,1.1,79.5,0.5,1.5,2.0,1.7,1.2,0.3,0.2,2.2,0.0,,,
Derrick Favors,50,23.7,9.5,4.1,8.3,48.7,0.1,0.2,30.0,1.3,2.2,61.5,1.8,4.3,6.1,1.1,1.2,0.9,0.8,2.1,1.1,,,
George Hill,49,31.5,16.9,5.9,12.4,47.7,1.9,4.8,40.3,3.2,4.0,80.1,0.5,2.9,3.4,4.2,1.7,1.0,0.2,2.3,5.2,,,
Gordon Hayward,73,34.5,21.9,7.5,15.8,47.1,2.0,5.1,39.8,5.0,5.9,84.4,0.7,4.7,5.4,3.5,1.9,1.0,0.3,1.6,4.8,,,
Jeff Withey,51,8.5,2.9,1.1,2.0,53.4,0.0,0.0,0.0,0.7,0.9,75.0,1.0,1.4,2.4,0.1,0.3,0.3,0.6,1.0,-0.5,,,
Joe Ingles,82,24.1,7.1,2.5,5.5,45.2,1.5,3.4,44.1,0.6,0.8,73.5,0.3,2.9,3.2,2.7,1.3,1.2,0.1,2.0,2.0,,,
Joe Johnson,78,23.6,9.2,3.5,8.0,43.6,1.4,3.3,41.1,0.8,1.0,81.8,0.4,2.7,3.1,1.8,0.9,0.5,0.2,1.2,1.5,,,
Joel Bolomboy,12,4.4,1.8,0.8,1.3,56.3,0.1,0.3,25.0,0.3,0.5,50.0,0.3,1.1,1.4,0.2,0.2,0.1,0.2,0.1,1.0,,,
Raul Neto,40,8.6,2.5,1.0,2.3,45.1,0.3,0.8,32.3,0.2,0.2,88.9,0.1,0.7,0.8,0.9,0.4,0.5,0.1,1.2,2.1,,,
Rodney Hood,59,27.0,12.7,4.6,11.3,40.8,1.9,5.2,37.1,1.5,1.9,78.3,0.3,3.2,3.4,1.6,1.1,0.6,0.2,2.2,1.8,,,
Rudy Gobert,81,33.9,14.0,5.1,7.7,66.1,0.0,0.0,0.0,3.8,5.9,65.3,3.9,8.9,12.8,1.2,1.8,0.6,2.6,3.0,5.4,,,
Shelvin Mack,55,21.9,7.8,3.1,6.9,44.6,0.7,2.2,30.8,1.0,1.4,68.8,0.4,1.9,2.3,2.8,1.6,0.8,0.1,1.8,0.3,,,
Trey Lyles,71,16.3,6.2,2.2,6.2,36.2,0.9,2.9,31.9,0.8,1.1,72.2,0.7,2.6,3.3,1.0,0.9,0.4,0.3,1.4,0.4,,,
